"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
37078,0.173828125,-0.076171875,0.0234375,0.201171875,0.365234375,0.296875,-0.2109375,0.05078125,0.10302734375,"Patrick Peterson","CB"
37724,0.29296875,0.3125,-0.01953125,0.451171875,-0.439453125,-0.203125,-0.1875,-0.09765625,0.013671875,"Chris Harris","CB"
38540,-0.205078125,-0.119140625,-0.140625,-0.080078125,-0.2421875,-0.103515625,-0.048828125,0.265625,-0.084228515625,"Stephon Gilmore","CB"
38592,-0.40625,-0.068359375,-0.0390625,-0.46484375,-0.359375,0.376953125,-0.22265625,0.11328125,-0.1337890625,"Casey Hayward","CB"
39984,-0.322265625,-0.171875,-0.001953125,0.013671875,-0.150390625,-0.041015625,0.22265625,-0.00390625,-0.056884765625,"Darius Slay","CB"
41257,0.30859375,-0.046875,-0.21875,-0.478515625,-0.271484375,0.2890625,0.396484375,0.09375,0.009033203125,"Bradley Roby","CB"
41483,-0.328125,-0.2109375,0.447265625,0.236328125,0.037109375,-0.416015625,-0.154296875,0.322265625,-0.00830078125,"Terrance Mitchell","CB"
42030,0.09375,0.365234375,0.1015625,-0.048828125,-0.11328125,-0.181640625,0.033203125,0.078125,0.041015625,"K'Waun Williams","CB"
42361,-0.484375,0.041015625,-0.017578125,-0.43359375,-0.30078125,0.42578125,-0.2578125,0.216796875,-0.101318359375,"Marcus Peters","CB"
42393,-0.486328125,-0.16796875,-0.271484375,-0.263671875,-0.310546875,-0.28515625,0.193359375,0.123046875,-0.18359375,"Ronald Darby","CB"
42421,0.1640625,-0.16015625,0.375,0.443359375,-0.05859375,-0.474609375,0.478515625,0.48046875,0.156005859375,"P.J. Williams","CB"
42441,-0.2109375,0.1953125,0.111328125,-0.42578125,-0.08203125,-0.4453125,-0.248046875,0.279296875,-0.103271484375,"Steven Nelson","CB"
42816,-0.146484375,0.4921875,0.12890625,0.15625,-0.21875,-0.275390625,0.1796875,0.41015625,0.0908203125,"Troy Hill","CB"
42935,-0.474609375,-0.166015625,0.076171875,-0.294921875,-0.140625,-0.400390625,0.44921875,0.2890625,-0.082763671875,"Bryce Callahan","CB"
43294,0.3515625,0.224609375,0.0625,0.142578125,-0.126953125,0.171875,-0.0546875,0.3984375,0.146240234375,"Jalen Ramsey","CB"
43299,0.259765625,-0.234375,0.05078125,-0.3984375,0.275390625,0.162109375,0.001953125,-0.099609375,0.002197265625,"Eli Apple","CB"
43313,-0.443359375,0.298828125,0.103515625,-0.201171875,0.173828125,-0.341796875,0.05078125,-0.056640625,-0.052001953125,"William Jackson","CB"
43327,0.107421875,0.044921875,-0.22265625,-0.326171875,0.0234375,-0.1875,-0.171875,0.31640625,-0.052001953125,"Xavien Howard","CB"
43351,-0.16796875,-0.080078125,-0.1484375,-0.408203125,-0.1875,0.173828125,-0.169921875,0.173828125,-0.101806640625,"James Bradberry","CB"
43373,-0.318359375,0.158203125,-0.115234375,0.1953125,-0.267578125,-0.04296875,0.048828125,0.140625,-0.025146484375,"Kendall Fuller","CB"
43478,-0.36328125,0.09375,-0.060546875,-0.427734375,-0.197265625,0.1796875,-0.494140625,0.076171875,-0.149169921875,"Anthony Brown","CB"
43522,-0.216796875,0.166015625,0.037109375,-0.037109375,0.123046875,-0.23046875,0.134765625,0.357421875,0.041748046875,"Jalen Mills","CB"
43641,0.22265625,0.431640625,-0.064453125,-0.2109375,-0.384765625,0.11328125,-0.259765625,0.32421875,0.021484375,"Mike Hilton","CB"
43700,-0.3125,0.205078125,0.015625,-0.255859375,-0.24609375,-0.427734375,0.275390625,-0.306640625,-0.131591796875,"Jonathan Jones","CB"
44823,-0.439453125,-0.306640625,-0.068359375,0.36328125,0.076171875,0.447265625,0.4140625,-0.19140625,0.036865234375,"Marshon Lattimore","CB"
44828,-0.44140625,0.0703125,-0.00390625,-0.046875,-0.263671875,0.423828125,-0.41796875,0.158203125,-0.065185546875,"Marlon Humphrey","CB"
44830,0.46484375,0.2265625,0.033203125,-0.275390625,-0.091796875,-0.462890625,-0.18359375,0.404296875,0.014404296875,"Adoree' Jackson","CB"
44872,0.185546875,0.09765625,-0.033203125,-0.14453125,-0.275390625,-0.333984375,-0.27734375,0.306640625,-0.059326171875,"Chidobe Awuzie","CB"
44878,-0.21875,0.38671875,0.01171875,0.037109375,-0.158203125,0.4296875,0.03125,-0.390625,0.01611328125,"Ahkello Witherspoon","CB"
44893,0.25,0.03515625,-0.048828125,0.099609375,0.25390625,0.35546875,-0.025390625,-0.234375,0.085693359375,"Fabian Moreau","CB"
