"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
37078,67.3828125,42.3828125,52.34375,70.1171875,86.5234375,20.3125,28.90625,55.078125,52.880859375,"Patrick Peterson","CB"
37724,79.296875,81.25,48.046875,95.1171875,6.0546875,70.3125,31.25,40.234375,56.4453125,"Chris Harris","CB"
38540,29.4921875,38.0859375,35.9375,41.9921875,25.78125,60.3515625,45.1171875,76.5625,44.1650390625,"Stephon Gilmore","CB"
38592,9.375,43.1640625,46.09375,3.515625,14.0625,12.3046875,27.734375,61.328125,27.197265625,"Casey Hayward","CB"
39984,17.7734375,32.8125,49.8046875,51.3671875,34.9609375,54.1015625,72.265625,49.609375,45.3369140625,"Darius Slay","CB"
41257,80.859375,45.3125,28.125,2.1484375,22.8515625,21.09375,89.6484375,59.375,43.6767578125,"Bradley Roby","CB"
41483,17.1875,28.90625,94.7265625,73.6328125,53.7109375,91.6015625,34.5703125,82.2265625,59.5703125,"Terrance Mitchell","CB"
42030,59.375,86.5234375,60.15625,45.1171875,38.671875,68.1640625,53.3203125,57.8125,58.642578125,"K'Waun Williams","CB"
42361,1.5625,54.1015625,48.2421875,6.640625,19.921875,7.421875,24.21875,71.6796875,29.2236328125,"Marcus Peters","CB"
42393,1.3671875,33.203125,22.8515625,23.6328125,18.9453125,78.515625,69.3359375,62.3046875,38.76953125,"Ronald Darby","CB"
42421,66.40625,33.984375,87.5,94.3359375,44.140625,97.4609375,97.8515625,98.046875,77.4658203125,"P.J. Williams","CB"
42441,28.90625,69.53125,61.1328125,7.421875,41.796875,94.53125,25.1953125,77.9296875,50.8056640625,"Steven Nelson","CB"
42816,35.3515625,99.21875,62.890625,65.625,28.125,77.5390625,67.96875,91.015625,65.966796875,"Troy Hill","CB"
42935,2.5390625,33.3984375,57.6171875,20.5078125,35.9375,90.0390625,94.921875,78.90625,51.7333984375,"Bryce Callahan","CB"
43294,85.15625,72.4609375,56.25,64.2578125,37.3046875,32.8125,44.53125,89.84375,60.3271484375,"Jalen Ramsey","CB"
43299,75.9765625,26.5625,55.078125,10.15625,77.5390625,33.7890625,50.1953125,40.0390625,46.1669921875,"Eli Apple","CB"
43313,5.6640625,79.8828125,60.3515625,29.8828125,67.3828125,84.1796875,55.078125,44.3359375,53.3447265625,"William Jackson","CB"
43327,60.7421875,54.4921875,27.734375,17.3828125,52.34375,68.75,32.8125,81.640625,49.4873046875,"Xavien Howard","CB"
43351,33.203125,41.9921875,35.15625,9.1796875,31.25,32.6171875,33.0078125,67.3828125,35.4736328125,"James Bradberry","CB"
43373,18.1640625,65.8203125,38.4765625,69.53125,23.2421875,54.296875,54.8828125,64.0625,48.5595703125,"Kendall Fuller","CB"
43478,13.671875,59.375,43.9453125,7.2265625,30.2734375,32.03125,0.5859375,57.6171875,30.5908203125,"Anthony Brown","CB"
43522,28.3203125,66.6015625,53.7109375,46.2890625,62.3046875,73.046875,63.4765625,85.7421875,59.9365234375,"Jalen Mills","CB"
43641,72.265625,93.1640625,43.5546875,28.90625,11.5234375,38.671875,24.0234375,82.421875,49.31640625,"Mike Hilton","CB"
43700,18.75,70.5078125,51.5625,24.4140625,25.390625,92.7734375,77.5390625,19.3359375,47.5341796875,"Jonathan Jones","CB"
44823,6.0546875,19.3359375,43.1640625,86.328125,57.6171875,5.2734375,91.40625,30.859375,42.5048828125,"Marshon Lattimore","CB"
44828,5.859375,57.03125,49.609375,45.3125,23.6328125,7.6171875,8.203125,65.8203125,32.8857421875,"Marlon Humphrey","CB"
44830,96.484375,72.65625,53.3203125,22.4609375,40.8203125,96.2890625,31.640625,90.4296875,63.0126953125,"Adoree' Jackson","CB"
44872,68.5546875,59.765625,46.6796875,35.546875,22.4609375,83.3984375,22.265625,80.6640625,52.4169921875,"Chidobe Awuzie","CB"
44878,28.125,88.671875,51.171875,53.7109375,34.1796875,7.03125,53.125,10.9375,40.869140625,"Ahkello Witherspoon","CB"
44893,75,53.515625,45.1171875,59.9609375,75.390625,14.453125,47.4609375,26.5625,49.6826171875,"Fabian Moreau","CB"
44902,92.578125,70.1171875,36.71875,40.8203125,28.90625,68.359375,61.9140625,96.875,62.0361328125,"Shaquill Griffin","CB"
44904,8.0078125,62.890625,54.6875,37.6953125,99.8046875,45.703125,100,35.7421875,55.56640625,"Jourdan Lewis","CB"
44906,25.1953125,48.2421875,34.765625,17.7734375,8.984375,54.8828125,56.4453125,53.125,37.4267578125,"Cameron Sutton","CB"
44911,37.6953125,82.421875,55.46875,25.78125,65.234375,41.2109375,38.4765625,53.90625,50.0244140625,"Rasul Douglas","CB"
44964,70.5078125,98.2421875,66.9921875,50.1953125,47.0703125,75.390625,19.921875,75.390625,62.9638671875,"Desmond King","CB"
45287,84.1796875,53.3203125,59.375,48.046875,29.8828125,37.3046875,46.875,46.875,50.732421875,"Kenny Moore","CB"
45395,67.578125,96.09375,61.71875,8.984375,50.5859375,41.796875,6.8359375,57.2265625,48.8525390625,"Arthur Maulet","CB"
45571,4.6875,61.9140625,60.546875,62.890625,78.515625,89.0625,26.171875,97.65625,60.1806640625,"Michael Davis","CB"
46073,59.5703125,62.109375,32.2265625,14.84375,49.609375,98.046875,18.9453125,21.875,44.6533203125,"Denzel Ward","CB"
46087,21.6796875,53.7109375,45.703125,27.734375,12.109375,71.2890625,65.625,77.34375,46.8994140625,"Jaire Alexander","CB"
46099,93.359375,42.1875,58.59375,66.6015625,46.2890625,77.34375,33.3984375,67.7734375,60.693359375,"Mike Hughes","CB"
46124,34.5703125,33.7890625,48.4375,11.71875,18.5546875,8.984375,74.0234375,58.59375,36.083984375,"Donte Jackson","CB"
46127,51.953125,20.5078125,68.5546875,12.109375,58.3984375,16.40625,69.921875,34.9609375,41.6015625,"Isaiah Oliver","CB"
46132,27.734375,77.5390625,55.6640625,48.2421875,56.4453125,77.1484375,45.703125,81.25,58.7158203125,"Carlton Davis","CB"
46187,55.46875,75.5859375,54.8828125,36.1328125,16.40625,4.6875,79.4921875,29.6875,44.04296875,"Anthony Averett","CB"
46190,32.2265625,66.40625,66.40625,44.921875,86.1328125,87.6953125,88.0859375,65.234375,67.138671875,"Taron Johnson","CB"
46194,40.8203125,94.7265625,58.0078125,5.46875,33.984375,42.3828125,46.2890625,85.9375,50.9521484375,"Avonte Maddox","CB"
46211,34.1796875,88.8671875,35.3515625,43.75,17.578125,3.90625,78.90625,32.03125,41.8212890625,"D.J. Reed","CB"
46278,7.421875,77.9296875,59.9609375,80.859375,54.296875,94.921875,58.3984375,84.765625,64.8193359375,"Cornell Armstrong","CB"
46354,66.2109375,82.03125,63.4765625,10.9375,35.15625,17.578125,7.6171875,75.5859375,44.82421875,"Emmanuel Moseley","CB"
46456,22.65625,54.296875,47.4609375,4.1015625,17.1875,68.9453125,42.1875,84.1796875,42.626953125,"Darious Williams","CB"
46652,67.7734375,89.84375,40.8203125,53.125,16.2109375,6.0546875,58.203125,35.15625,45.8984375,"Chandon Sullivan","CB"
46698,90.8203125,50.9765625,59.5703125,45.703125,28.7109375,92.3828125,22.8515625,84.5703125,59.4482421875,"Levi Wallace","CB"
46700,5.46875,39.84375,68.9453125,36.71875,53.90625,64.453125,76.171875,69.7265625,51.904296875,"Tre Herndon","CB"
46729,81.8359375,18.9453125,45.8984375,60.546875,81.4453125,31.8359375,96.484375,42.578125,57.4462890625,"Brandon Facyson","CB"
46757,39.6484375,82.8125,63.8671875,93.75,51.3671875,18.359375,29.6875,46.09375,53.1982421875,"Charvarius Ward","CB"
46775,99.8046875,21.875,70.1171875,28.7109375,75.9765625,73.828125,83.59375,0.1953125,56.7626953125,"J.C. Jackson","CB"
47816,54.4921875,50.1953125,47.65625,55.859375,22.265625,26.7578125,46.484375,82.03125,48.2177734375,"Byron Murphy","CB"
47817,82.03125,46.875,57.2265625,29.6875,42.578125,50,49.0234375,74.0234375,53.9306640625,"Rock Ya-Sin","CB"
47862,12.109375,29.6875,52.5390625,3.3203125,36.328125,73.6328125,48.2421875,87.109375,42.87109375,"David Long","CB"
47877,22.8515625,46.09375,38.671875,88.8671875,49.0234375,57.421875,66.6015625,43.1640625,51.5869140625,"Jamel Dean","CB"
47929,42.578125,94.53125,56.0546875,14.453125,66.796875,75.5859375,61.71875,58.0078125,58.7158203125,"Amani Oruwariye","CB"
47941,16.6015625,74.0234375,54.1015625,38.8671875,89.84375,8.3984375,73.828125,51.171875,50.8544921875,"Michael Jackson","CB"
