"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
33131,0.396484375,0.052734375,-0.419921875,-0.2734375,0.197265625,0.044921875,-0.35546875,0.205078125,-0.01904296875,"Calais Campbell","DE"
35452,-0.046875,0.28515625,-0.39453125,0.228515625,-0.375,0.486328125,-0.380859375,-0.24609375,-0.055419921875,"Brandon Graham","DE"
35454,-0.244140625,-0.484375,-0.412109375,-0.193359375,-0.171875,-0.470703125,-0.328125,0.1484375,-0.26953125,"Jason Pierre-Paul","DE"
35470,-0.4765625,-0.330078125,-0.40625,-0.490234375,-0.1953125,0.009765625,-0.326171875,-0.384765625,-0.324951171875,"Jerry Hughes","DE"
37084,0.4140625,-0.4375,-0.4921875,0.275390625,-0.40625,0.0859375,-0.14453125,-0.08984375,-0.099365234375,"J.J. Watt","DE"
37097,0.466796875,0.44921875,-0.212890625,-0.095703125,-0.3046875,0.322265625,0.21875,0.08984375,0.11669921875,"Cameron Jordan","DE"
38551,-0.3359375,-0.2421875,-0.375,-0.423828125,-0.259765625,0.30859375,0.234375,-0.328125,-0.177734375,"Chandler Jones","DE"
40074,0.3125,-0.25390625,0.013671875,0.39453125,-0.33203125,0.28125,0.490234375,-0.291015625,0.076904296875,"William Gholston","DE"
41227,-0.462890625,0.26953125,-0.474609375,0.0859375,-0.087890625,-0.21875,0.3125,-0.109375,-0.085693359375,"Jadeveon Clowney","DE"
41263,-0.32421875,0.470703125,-0.005859375,-0.16015625,0.181640625,0.111328125,-0.263671875,0.033203125,0.00537109375,"Demarcus Lawrence","DE"
41464,-0.4296875,-0.146484375,-0.41796875,-0.3046875,-0.416015625,0.12109375,-0.1953125,-0.06640625,-0.23193359375,"Shelby Harris","DE"
41786,0.47265625,-0.41796875,0,0.423828125,-0.45703125,0.431640625,-0.4765625,-0.412109375,-0.054443359375,"Kerry Hyder","DE"
42031,-0.087890625,-0.25,-0.294921875,-0.392578125,0.162109375,0.064453125,-0.24609375,-0.486328125,-0.19140625,"Denico Autry","DE"
42331,-0.470703125,-0.0859375,0.078125,-0.453125,0.212890625,-0.361328125,-0.474609375,-0.126953125,-0.210205078125,"Efe Obada","DE"
42395,-0.25390625,-0.462890625,-0.3359375,-0.48828125,-0.23828125,0.470703125,-0.228515625,-0.423828125,-0.2451171875,"Jordan Phillips","DE"
42403,-0.03125,0.427734375,-0.072265625,0.22265625,-0.05078125,-0.30859375,-0.490234375,0.40234375,0.012451171875,"Randy Gregory","DE"
42406,0.26953125,0.294921875,-0.4140625,-0.474609375,-0.380859375,0.138671875,-0.384765625,-0.361328125,-0.1640625,"Frank Clark","DE"
43298,-0.33984375,-0.037109375,-0.0859375,0.306640625,0.419921875,-0.009765625,-0.05859375,-0.08203125,0.01416015625,"Leonard Floyd","DE"
43308,0.390625,0.384765625,-0.396484375,-0.330078125,-0.330078125,0.482421875,0.470703125,-0.482421875,0.023681640625,"Shaq Lawson","DE"
43321,-0.107421875,-0.341796875,-0.458984375,0.5,-0.36328125,-0.1484375,-0.291015625,-0.376953125,-0.198486328125,"Emmanuel Ogbah","DE"
43352,0.03125,-0.17578125,-0.228515625,-0.353515625,-0.396484375,0.46875,0.49609375,-0.25,-0.051025390625,"Adam Gotsis","DE"
43358,0.34765625,-0.33984375,-0.48046875,-0.37109375,-0.419921875,0.240234375,-0.052734375,-0.138671875,-0.15185546875,"Yannick Ngakoue","DE"
43361,0.37109375,-0.240234375,-0.400390625,0.478515625,-0.49609375,-0.26171875,0.296875,-0.29296875,-0.068115234375,"Jonathan Bullard","DE"
43426,0.314453125,-0.3515625,-0.193359375,0.314453125,-0.3828125,-0.095703125,-0.208984375,-0.2265625,-0.103759765625,"Dean Lowry","DE"
43436,-0.423828125,-0.3125,-0.421875,0.265625,-0.185546875,-0.142578125,0.353515625,-0.15234375,-0.12744140625,"Quinton Jefferson","DE"
43791,0.005859375,-0.302734375,-0.46875,0.43359375,-0.484375,-0.158203125,0.103515625,-0.43359375,-0.1630859375,"Morgan Fox","DE"
44813,0.453125,-0.1875,-0.49609375,-0.333984375,-0.482421875,0.458984375,-0.42578125,-0.208984375,-0.15283203125,"Myles Garrett","DE"
44863,0.037109375,-0.197265625,-0.052734375,0.37890625,-0.189453125,0.22265625,0.474609375,-0.16796875,0.063232421875,"DeMarcus Walker","DE"
44871,0.48046875,0.310546875,-0.134765625,0.341796875,0.125,-0.322265625,0.224609375,-0.42578125,0.074951171875,"Tanoh Kpassagnon","DE"
44880,-0.201171875,-0.345703125,-0.431640625,-0.486328125,-0.19140625,0.134765625,-0.43359375,-0.18359375,-0.267333984375,"Dawuane Smoot","DE"
44886,-0.4375,-0.10546875,-0.08984375,0.28125,-0.39453125,-0.166015625,-0.224609375,-0.263671875,-0.175048828125,"Chris Wormley","DE"
44915,0.244140625,-0.001953125,-0.462890625,0.337890625,-0.0859375,0.34765625,-0.13671875,-0.0859375,0.01953125,"Trey Hendrickson","DE"
44929,-0.3203125,-0.115234375,-0.466796875,-0.4375,-0.421875,0.474609375,-0.234375,-0.232421875,-0.21923828125,"Carl Lawson","DE"
44938,-0.060546875,0.443359375,-0.26171875,-0.130859375,-0.31640625,-0.00390625,0.0859375,-0.134765625,-0.04736328125,"Samson Ebukam","DE"
44944,-0.05078125,-0.130859375,-0.2421875,0.2421875,-0.154296875,0.17578125,-0.279296875,-0.21875,-0.082275390625,"Deatrich Wise","DE"
45009,0.38671875,-0.373046875,-0.14453125,-0.310546875,-0.1328125,0.193359375,0.185546875,-0.1875,-0.0478515625,"Al-Quadin Muhammad","DE"
45033,-0.212890625,-0.41015625,-0.388671875,0.376953125,-0.44921875,0.236328125,-0.478515625,-0.46484375,-0.223876953125,"Ifeadi Odenigbo","DE"
46083,0.458984375,0.060546875,-0.142578125,0.412109375,0.203125,0.244140625,-0.353515625,-0.205078125,0.084716796875,"Marcus Davenport","DE"
46133,-0.255859375,-0.208984375,-0.279296875,-0.197265625,-0.296875,0.041015625,0.271484375,-0.171875,-0.13720703125,"Tyquan Lewis","DE"
46146,0.171875,0.400390625,-0.076171875,-0.060546875,-0.064453125,0.220703125,0,-0.19921875,0.049072265625,"Sam Hubbard","DE"
