"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
35449,45.5078125,1.7578125,26.953125,43.359375,0.9765625,62.5,79.8828125,1.171875,32.763671875,"Tyson Alualu","NT"
35562,99.4140625,37.5,29.6875,76.7578125,5.6640625,95.703125,98.828125,21.484375,58.1298828125,"Al Woods","NT"
37104,29.296875,57.6171875,22.65625,88.0859375,22.0703125,90.0390625,26.953125,28.3203125,45.6298828125,"Cameron Heyward","DT"
37308,77.34375,87.890625,50.5859375,98.2421875,2.734375,64.2578125,67.1875,22.8515625,58.88671875,"Lawrence Guy","DT"
38542,32.8125,22.8515625,23.046875,76.953125,28.3203125,13.28125,13.671875,10.546875,27.685546875,"Fletcher Cox","DT"
39997,8.3984375,25.1953125,47.265625,74.0234375,13.4765625,76.7578125,81.0546875,9.1796875,41.9189453125,"Johnathan Hankins","NT"
40171,12.890625,74.8046875,19.140625,89.84375,9.765625,97.8515625,38.0859375,2.734375,43.1396484375,"Nicholas Williams","DT"
40347,85.9375,15.625,29.4921875,81.25,37.5,34.375,54.296875,59.5703125,49.755859375,"Mike Purcell","NT"
41239,48.4375,57.421875,4.296875,84.5703125,0.1953125,92.7734375,51.3671875,31.4453125,46.3134765625,"Aaron Donald","DT"
41336,2.734375,35.546875,11.71875,26.171875,2.5390625,72.4609375,59.1796875,54.1015625,33.056640625,"Justin Ellis","DT"
41341,90.0390625,9.1796875,15.625,42.7734375,15.234375,94.3359375,37.3046875,9.765625,39.2822265625,"DaQuan Jones","DT"
41595,25.9765625,9.765625,33.59375,73.2421875,23.828125,66.6015625,67.578125,8.0078125,38.57421875,"Mike Pennel","NT"
42349,76.7578125,75,6.4453125,99.21875,69.3359375,55.46875,33.7890625,5.46875,52.685546875,"Leonard Williams","DT"
42378,100,95.1171875,0.9765625,98.6328125,29.296875,95.1171875,1.171875,5.078125,53.173828125,"Mario Edwards","DT"
42433,92.1875,11.71875,19.53125,2.34375,9.9609375,99.21875,19.53125,14.453125,33.6181640625,"Carl Davis","NT"
42443,73.828125,18.359375,7.2265625,20.703125,27.734375,29.4921875,85.9375,63.8671875,40.8935546875,"Angelo Blackson","DT"
42480,38.0859375,5.859375,4.4921875,87.5,1.3671875,21.2890625,74.21875,16.9921875,31.2255859375,"Grady Jarrett","DT"
42560,12.5,13.28125,17.96875,82.6171875,15.625,55.6640625,96.6796875,13.671875,38.5009765625,"Rakeem Nunez-Roches","NT"
42826,5.2734375,8.59375,5.46875,83.0078125,2.34375,60.7421875,13.0859375,4.8828125,22.9248046875,"DeShawn Williams","DT"
43296,65.8203125,9.375,41.6015625,89.0625,51.7578125,57.421875,59.375,38.28125,51.5869140625,"DeForest Buckner","DT"
43301,69.53125,36.5234375,37.6953125,28.515625,21.09375,66.40625,95.703125,20.3125,46.97265625,"Sheldon Rankins","DT"
43316,86.1328125,21.6796875,11.9140625,83.984375,25.1953125,48.6328125,56.640625,4.6875,42.3583984375,"Kenny Clark","NT"
43326,71.484375,0.78125,0.5859375,62.109375,3.90625,73.046875,37.6953125,47.4609375,37.1337890625,"Chris Jones","DT"
43332,34.9609375,79.6875,22.4609375,29.1015625,42.1875,87.890625,90.4296875,16.2109375,50.3662109375,"Austin Johnson","NT"
43335,39.0625,96.2890625,53.125,77.1484375,16.6015625,37.6953125,80.078125,40.4296875,55.0537109375,"A'Shawn Robinson","DT"
43338,26.171875,69.921875,13.28125,79.6875,16.015625,34.5703125,49.21875,37.6953125,40.8203125,"Jarran Reed","DT"
43356,35.7421875,7.03125,15.4296875,96.484375,30.6640625,78.7109375,13.28125,19.7265625,37.1337890625,"Maliek Collins","DT"
43378,77.5390625,43.359375,11.5234375,44.3359375,6.4453125,22.265625,39.453125,23.4375,33.544921875,"Javon Hargrave","DT"
43405,83.984375,60.7421875,25.5859375,99.0234375,11.328125,51.3671875,4.1015625,5.859375,42.7490234375,"Hassan Ridgeway","DT"
43409,13.4765625,6.4453125,14.0625,8.203125,8.7890625,46.2890625,72.0703125,31.0546875,25.048828125,"David Onyemata","DT"
43411,64.84375,4.4921875,36.9140625,25.1953125,5.46875,64.84375,92.7734375,26.953125,40.185546875,"Andrew Billings","DT"
43441,93.5546875,4.8828125,5.078125,22.265625,5.859375,82.6171875,27.9296875,11.328125,31.689453125,"Matt Ioannidis","DT"
43787,50.1953125,47.265625,4.6875,55.078125,12.890625,42.96875,99.21875,13.28125,40.6982421875,"Roy Robertson-Harris","DT"
44815,62.109375,13.671875,34.375,96.6796875,20.8984375,66.796875,75.1953125,3.3203125,46.630859375,"Solomon Thomas","DT"
44829,52.34375,31.8359375,4.8828125,61.71875,7.6171875,83.7890625,30.2734375,6.4453125,34.86328125,"Jonathan Allen","DT"
44867,83.0078125,25.5859375,2.734375,11.5234375,2.9296875,30.46875,83.203125,17.7734375,32.1533203125,"Dalvin Tomlinson","DT"
44877,38.8671875,43.5546875,12.890625,31.640625,14.6484375,52.1484375,52.5390625,10.7421875,32.12890625,"Larry Ogunjobi","DT"
44957,32.6171875,80.078125,54.4921875,70.703125,36.9140625,54.6875,47.8515625,46.484375,52.978515625,"Grover Stewart","DT"
44991,92.3828125,21.2890625,46.875,70.8984375,3.7109375,71.09375,94.140625,32.6171875,54.1259765625,"Davon Godchaux","NT"
45011,30.46875,31.640625,13.0859375,57.8125,2.1484375,94.53125,34.1796875,53.7109375,39.697265625,"D.J. Jones","DT"
45226,85.3515625,8.0078125,44.3359375,41.015625,21.6796875,49.21875,48.4375,73.2421875,46.4111328125,"Josh Tupou","NT"
46081,49.8046875,13.0859375,6.25,84.765625,57.2265625,57.2265625,91.9921875,18.9453125,47.412109375,"Vita Vea","NT"
46082,80.6640625,22.4609375,12.109375,45.5078125,17.96875,84.5703125,61.5234375,12.109375,42.1142578125,"Daron Payne","DT"
46098,94.3359375,0.5859375,14.2578125,24.0234375,33.7890625,85.9375,10.3515625,15.4296875,34.8388671875,"Taven Bryan","DT"
46138,41.015625,83.59375,30.46875,92.7734375,3.125,57.8125,62.6953125,22.265625,49.21875,"B.J. Hill","DT"
46141,24.8046875,16.2109375,23.2421875,5.2734375,38.8671875,56.8359375,84.1796875,6.0546875,31.93359375,"Nathan Shepherd","DT"
46144,97.8515625,79.1015625,37.3046875,34.1796875,0.78125,65.0390625,24.4140625,27.1484375,45.7275390625,"Derrick Nnadi","DT"
46153,80.078125,6.0546875,43.359375,63.28125,33.59375,62.3046875,28.515625,33.0078125,43.7744140625,"Justin Jones","DT"
46165,70.703125,23.828125,11.328125,85.9375,4.4921875,52.34375,88.671875,10.15625,43.4326171875,"Harrison Phillips","DT"
46197,74.8046875,11.328125,24.0234375,67.7734375,3.515625,68.9453125,41.015625,18.5546875,38.7451171875,"Kentavius Street","DT"
46214,29.1015625,2.5390625,16.6015625,40.0390625,8.59375,90.8203125,65.4296875,39.6484375,36.5966796875,"Bilal Nichols","DT"
46232,13.28125,1.953125,5.2734375,6.4453125,6.640625,72.8515625,33.59375,65.0390625,25.634765625,"Tim Settle","DT"
46249,33.3984375,75.9765625,5.6640625,9.5703125,1.953125,91.40625,91.6015625,3.90625,39.1845703125,"Folorunso Fatukasi","DT"
46264,46.09375,63.28125,26.171875,67.96875,34.765625,76.3671875,59.5703125,75.1953125,56.1767578125,"Sebastian Joseph","NT"
46307,93.75,41.796875,40.625,56.0546875,53.3203125,61.71875,40.8203125,63.28125,56.4208984375,"Zach Sieler","DT"
46387,3.515625,2.9296875,20.3125,15.8203125,10.7421875,28.515625,22.4609375,69.3359375,21.7041015625,"Kendal Vickers","DT"
47786,50.78125,16.796875,21.09375,66.2109375,35.3515625,89.84375,53.90625,5.2734375,42.4072265625,"Quinnen Williams","NT"
47792,72.0703125,2.34375,10.15625,61.328125,14.453125,3.125,96.875,47.0703125,38.427734375,"Ed Oliver","DT"
47796,60.9375,52.1484375,34.9609375,88.671875,37.6953125,75,39.2578125,48.828125,54.6875,"Christian Wilkins","DT"
47800,79.8828125,4.1015625,9.765625,23.828125,32.421875,70.703125,40.0390625,86.9140625,43.45703125,"Dexter Lawrence","DT"
47802,9.5703125,35.15625,31.4453125,23.2421875,40.234375,59.375,39.84375,48.046875,35.8642578125,"Jeffery Simmons","DT"
47811,80.2734375,7.8125,24.4140625,1.953125,33.203125,40.8203125,85.546875,27.9296875,37.744140625,"Jerry Tillery","DT"
47841,11.9140625,4.296875,29.1015625,86.71875,24.609375,99.8046875,94.7265625,0.390625,43.9453125,"Trysten Hill","DT"
47867,81.0546875,72.8515625,48.6328125,92.1875,10.15625,69.921875,1.953125,8.3984375,48.14453125,"Khalen Saunders","DT"
47917,58.0078125,2.1484375,2.9296875,43.1640625,3.3203125,78.515625,82.2265625,24.4140625,36.8408203125,"Greg Gaines","NT"
47973,76.3671875,55.6640625,42.578125,59.375,48.6328125,79.296875,74.8046875,14.6484375,56.4208984375,"Armon Watts","NT"
47975,84.375,17.3828125,12.6953125,38.671875,13.8671875,43.75,35.9375,17.578125,33.0322265625,"Isaiah Buggs","DT"
48123,89.2578125,3.125,37.109375,90.0390625,0.5859375,86.71875,33.203125,8.59375,43.5791015625,"Kevin Givens","DT"
48198,82.6171875,21.09375,33.0078125,56.4453125,32.6171875,93.75,83.3984375,3.7109375,50.830078125,"Bryan Mone","NT"
48544,73.2421875,18.5546875,33.984375,89.2578125,26.3671875,32.8125,88.8671875,24.8046875,48.486328125,"Shy Tuttle","DT"
48770,14.6484375,24.4140625,47.8515625,94.921875,8.203125,37.5,8.7890625,13.4765625,31.2255859375,"Marquise Copeland","DT"
52464,54.6875,44.921875,17.578125,75.1953125,61.71875,36.328125,46.6796875,37.109375,46.77734375,"Raekwon Davis","NT"
52479,94.921875,26.953125,19.921875,39.2578125,15.8203125,99.0234375,28.3203125,17.96875,42.7734375,"Justin Madubuike","DT"
52481,22.265625,68.1640625,21.6796875,64.453125,18.75,66.9921875,99.4140625,15.8203125,47.1923828125,"Davon Hamilton","DT"
52490,80.46875,10.15625,32.421875,47.0703125,22.65625,76.171875,50.390625,12.890625,41.5283203125,"Neville Gallimore","DT"
