"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
37778,64.453125,34.375,83.7890625,62.6953125,43.9453125,79.296875,5.6640625,60.546875,54.345703125,"Josh Bynes","ILB"
38577,40.625,37.6953125,82.03125,92.96875,44.3359375,63.4765625,42.3828125,77.1484375,60.0830078125,"Bobby Wagner","ILB"
38588,46.6796875,11.9140625,67.578125,90.234375,49.8046875,16.9921875,82.8125,56.4453125,52.8076171875,"Lavonte David","ILB"
38607,36.5234375,17.7734375,62.6953125,49.0234375,75.1953125,18.75,41.9921875,41.6015625,42.9443359375,"Demario Davis","MLB"
41243,22.4609375,34.1796875,90.0390625,61.5234375,91.2109375,61.1328125,84.9609375,68.1640625,64.208984375,"C.J. Mosley","ILB"
42368,56.25,92.3828125,75,47.265625,62.6953125,47.265625,30.6640625,63.4765625,59.375,"Shaq Thompson","ILB"
42388,67.96875,64.453125,80.859375,39.84375,42.7734375,48.4375,62.890625,78.7109375,60.7421875,"Eric Kendricks","ILB"
42391,79.4921875,98.046875,83.984375,34.765625,56.25,8.0078125,97.265625,61.9140625,64.9658203125,"Denzel Perryman","ILB"
42427,70.8984375,81.640625,77.9296875,71.875,72.8515625,65.0390625,81.8359375,74.609375,74.5849609375,"Jordan Hicks","ILB"
42470,90.234375,7.2265625,93.359375,31.8359375,35.7421875,22.8515625,98.6328125,40.8203125,52.587890625,"Damien Wilson","MLB"
43323,8.7890625,67.7734375,62.3046875,86.5234375,86.328125,39.6484375,36.71875,16.796875,50.6103515625,"Jaylon Smith","MLB"
43325,44.7265625,14.2578125,98.828125,63.671875,78.3203125,25.78125,65.234375,45.1171875,54.4921875,"Myles Jack","ILB"
43404,23.828125,63.4765625,80.078125,46.09375,84.375,69.3359375,48.6328125,60.15625,59.4970703125,"De'Vondre Campbell","ILB"
43497,42.3828125,46.484375,82.6171875,40.234375,90.625,76.5625,27.34375,55.2734375,57.6904296875,"Kamu Grugier-Hill","ILB"
43503,53.515625,77.34375,94.921875,52.734375,55.46875,46.09375,87.5,51.5625,64.892578125,"Elandon Roberts","ILB"
44869,86.9140625,5.6640625,83.203125,77.34375,79.1015625,13.8671875,95.3125,45.8984375,60.9130859375,"Zach Cunningham","ILB"
44887,35.9375,50.5859375,95.5078125,90.8203125,74.8046875,72.0703125,21.6796875,68.5546875,63.7451171875,"Duke Riley","ILB"
44888,38.671875,65.4296875,76.3671875,70.5078125,94.7265625,67.7734375,54.6875,66.9921875,66.89453125,"Alex Anzalone","ILB"
45008,38.28125,3.90625,95.1171875,78.90625,49.21875,74.8046875,2.734375,75,52.24609375,"Tanner Vallejo","ILB"
45643,52.734375,56.640625,96.09375,13.0859375,71.484375,3.3203125,23.828125,27.734375,43.115234375,"Dylan Cole","ILB"
46077,48.046875,98.828125,88.0859375,66.9921875,75,47.0703125,76.3671875,55.46875,69.482421875,"Roquan Smith","ILB"
