"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
35493,-0.21484375,0.046875,-0.34765625,0.212890625,0.328125,0.279296875,-0.142578125,-0.357421875,-0.0244140625,"Carlos Dunlap","OLB"
37075,0.41015625,-0.298828125,-0.486328125,-0.4609375,-0.0546875,0.1875,-0.138671875,-0.107421875,-0.11865234375,"Von Miller","OLB"
37087,-0.490234375,-0.4453125,-0.484375,-0.396484375,0.33984375,0.44921875,0.01953125,-0.20703125,-0.15185546875,"Robert Quinn","OLB"
37145,-0.466796875,-0.353515625,-0.498046875,-0.38671875,-0.369140625,0.455078125,-0.404296875,-0.119140625,-0.267822265625,"Justin Houston","OLB"
38548,0.291015625,-0.2265625,-0.439453125,0.193359375,-0.287109375,0.48828125,-0.453125,-0.078125,-0.06396484375,"Melvin Ingram","OLB"
41231,-0.310546875,0.099609375,-0.265625,0.23046875,0.322265625,0.4765625,0.28515625,-0.244140625,0.07421875,"Khalil Mack","OLB"
41235,0.384765625,-0.109375,0.32421875,-0.03125,0.38671875,0.3828125,-0.3828125,-0.09375,0.107666015625,"Anthony Barr","OLB"
41269,0.021484375,-0.423828125,-0.10546875,0.2265625,-0.107421875,-0.337890625,0.130859375,0.3671875,-0.028564453125,"Kyle Van Noy","OLB"
41300,0.37890625,-0.12890625,0.234375,0.091796875,0.189453125,-0.16015625,-0.01171875,0.17578125,0.09619140625,"Christian Kirksey","OLB"
41915,0.36328125,0.4765625,-0.28125,0.302734375,-0.0390625,0.2734375,0.0234375,-0.0703125,0.131103515625,"Shaquil Barrett","OLB"
42346,-0.357421875,0.341796875,-0.353515625,-0.296875,-0.033203125,-0.15234375,-0.31640625,-0.197265625,-0.170654296875,"Dante Fowler","OLB"
42365,-0.494140625,0.19140625,-0.322265625,0.458984375,0.416015625,0.47265625,-0.3515625,-0.4921875,-0.01513671875,"Bud Dupree","OLB"
42381,0.4453125,0.302734375,-0.220703125,-0.412109375,-0.03515625,0.3203125,-0.205078125,0.025390625,0.027587890625,"Preston Smith","OLB"
42401,-0.228515625,0.490234375,-0.314453125,0.349609375,0.166015625,0.146484375,0.20703125,0.060546875,0.109619140625,"Markus Golden","OLB"
42431,-0.1015625,0.408203125,-0.404296875,-0.3125,0.369140625,0.05859375,0.111328125,-0.380859375,-0.031494140625,"Danielle Hunter","OLB"
42465,-0.162109375,-0.189453125,-0.48828125,0.01171875,-0.166015625,0.130859375,0.384765625,-0.2421875,-0.090087890625,"Za'Darius Smith","OLB"
42467,-0.0078125,0.392578125,0.376953125,0.083984375,0.21875,-0.03515625,-0.146484375,-0.033203125,0.106201171875,"Kwon Alexander","OLB"
42929,-0.078125,0.494140625,0.490234375,0.033203125,0.490234375,0.23828125,0.18359375,0.0234375,0.234375,"Alex Singleton","OLB"
43333,-0.28515625,0.2421875,-0.25,0.005859375,0.341796875,0.369140625,-0.375,-0.064453125,-0.001953125,"Jihad Ward","OLB"
