"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
35493,28.515625,54.6875,15.234375,71.2890625,82.8125,77.9296875,35.7421875,14.2578125,47.55859375,"Carlos Dunlap","OLB"
37075,91.015625,20.1171875,1.3671875,3.90625,44.53125,68.75,36.1328125,39.2578125,38.134765625,"Von Miller","OLB"
37087,0.9765625,5.46875,1.5625,10.3515625,83.984375,94.921875,51.953125,29.296875,34.814453125,"Robert Quinn","OLB"
37145,3.3203125,14.6484375,0.1953125,11.328125,13.0859375,95.5078125,9.5703125,38.0859375,23.2177734375,"Justin Houston","OLB"
38548,79.1015625,27.34375,6.0546875,69.3359375,21.2890625,98.828125,4.6875,42.1875,43.603515625,"Melvin Ingram","OLB"
41231,18.9453125,59.9609375,23.4375,73.046875,82.2265625,97.65625,78.515625,25.5859375,57.421875,"Khalil Mack","OLB"
41235,88.4765625,39.0625,82.421875,46.875,88.671875,88.28125,11.71875,40.625,60.7666015625,"Anthony Barr","OLB"
41269,52.1484375,7.6171875,39.453125,72.65625,39.2578125,16.2109375,63.0859375,86.71875,47.1435546875,"Kyle Van Noy","OLB"
41300,87.890625,37.109375,73.4375,59.1796875,68.9453125,33.984375,48.828125,67.578125,59.619140625,"Christian Kirksey","OLB"
41915,86.328125,97.65625,21.875,80.2734375,46.09375,77.34375,52.34375,42.96875,63.1103515625,"Shaquil Barrett","OLB"
42346,14.2578125,84.1796875,14.6484375,20.3125,46.6796875,34.765625,18.359375,30.2734375,32.9345703125,"Dante Fowler","OLB"
42365,0.5859375,69.140625,17.7734375,95.8984375,91.6015625,97.265625,14.84375,0.78125,48.486328125,"Bud Dupree","OLB"
42381,94.53125,80.2734375,27.9296875,8.7890625,46.484375,82.03125,29.4921875,52.5390625,52.7587890625,"Preston Smith","OLB"
42401,27.1484375,99.0234375,18.5546875,84.9609375,66.6015625,64.6484375,70.703125,56.0546875,60.9619140625,"Markus Golden","OLB"
42431,39.84375,90.8203125,9.5703125,18.75,86.9140625,55.859375,61.1328125,11.9140625,46.8505859375,"Danielle Hunter","OLB"
42465,33.7890625,31.0546875,1.171875,51.171875,33.3984375,63.0859375,88.4765625,25.78125,40.9912109375,"Za'Darius Smith","OLB"
42467,49.21875,89.2578125,87.6953125,58.3984375,71.875,46.484375,35.3515625,46.6796875,60.6201171875,"Kwon Alexander","OLB"
42929,42.1875,99.4140625,99.0234375,53.3203125,99.0234375,73.828125,68.359375,52.34375,73.4375,"Alex Singleton","OLB"
43333,21.484375,74.21875,25,50.5859375,84.1796875,86.9140625,12.5,43.5546875,49.8046875,"Jihad Ward","OLB"
43354,77.1484375,71.484375,27.34375,64.6484375,89.453125,42.1875,15.8203125,11.71875,49.9755859375,"Carl Nassib","OLB"
43435,63.671875,62.6953125,15.8203125,69.140625,38.4765625,60.546875,85.7421875,51.3671875,55.9326171875,"Matt Judon","OLB"
43797,55.078125,47.4609375,75.1953125,26.5625,85.9375,74.609375,91.015625,44.7265625,62.5732421875,"Cory Littleton","OLB"
