"nflId","avgImpulse","avg_tackle_oe","avgSTRAIN","mean_tackle_value","athleticism_score","avgAyac","fatigue","tackle_range_metric","final_metric","displayName","position"
33131,89.6484375,55.2734375,8.0078125,22.65625,69.7265625,45.5078125,14.453125,70.5078125,46.97265625,"Calais Campbell","DE"
35449,45.5078125,1.7578125,26.953125,43.359375,0.9765625,37.5,79.8828125,1.171875,29.638671875,"Tyson Alualu","NT"
35452,45.3125,78.515625,10.546875,72.8515625,12.5,1.3671875,11.9140625,25.390625,32.2998046875,"Brandon Graham","DE"
35454,25.5859375,1.5625,8.7890625,30.6640625,32.8125,97.0703125,17.1875,64.84375,34.814453125,"Jason Pierre-Paul","DE"
35459,15.625,84.5703125,84.9609375,41.796875,46.875,84.9609375,58.0078125,99.8046875,64.5751953125,"Kareem Jackson","SS"
35466,93.1640625,24.8046875,78.515625,78.3203125,29.6875,85.7421875,32.03125,92.578125,64.35546875,"Devin McCourty","FS"
35470,2.34375,16.9921875,9.375,0.9765625,30.46875,49.0234375,17.3828125,11.5234375,17.2607421875,"Jerry Hughes","DE"
35493,28.515625,54.6875,15.234375,71.2890625,82.8125,22.0703125,35.7421875,14.2578125,40.576171875,"Carlos Dunlap","OLB"
35562,99.4140625,37.5,29.6875,76.7578125,5.6640625,4.296875,98.828125,21.484375,46.7041015625,"Al Woods","NT"
37075,91.015625,20.1171875,1.3671875,3.90625,44.53125,31.25,36.1328125,39.2578125,33.447265625,"Von Miller","OLB"
37078,67.3828125,42.3828125,52.34375,70.1171875,86.5234375,20.3125,28.90625,55.078125,52.880859375,"Patrick Peterson","CB"
37084,91.40625,6.25,0.78125,77.5390625,9.375,41.40625,35.546875,41.015625,37.9150390625,"J.J. Watt","DE"
37087,0.9765625,5.46875,1.5625,10.3515625,83.984375,5.078125,51.953125,29.296875,23.583984375,"Robert Quinn","OLB"
37097,96.6796875,94.921875,28.7109375,40.4296875,19.53125,17.7734375,71.875,58.984375,53.61328125,"Cameron Jordan","DE"
37104,29.296875,57.6171875,22.65625,88.0859375,22.0703125,9.9609375,26.953125,28.3203125,35.6201171875,"Cameron Heyward","DT"
37145,3.3203125,14.6484375,0.1953125,11.328125,13.0859375,4.4921875,9.5703125,38.0859375,11.8408203125,"Justin Houston","OLB"
