"","whole_id","gameId","playId","nflId","tackle","assist","forcedFumble","pff_missedTackle","ballCarrierId"
"1","2022090800101",2022090800,101,42816,1,0,0,0,47857
"2","20220908001030",2022090800,1030,47862,1,0,0,0,52536
"3","20220908001102",2022090800,1102,52492,0,0,0,1,52494
"4","20220908001102",2022090800,1102,42816,1,0,0,0,52494
"5","20220908001187",2022090800,1187,41341,0,1,0,0,47853
"6","20220908001187",2022090800,1187,37075,1,0,0,0,47853
"7","2022090800122",2022090800,122,38577,1,0,0,0,47857
"8","20220908001230",2022090800,1230,46190,1,0,0,0,53678
"9","20220908001254",2022090800,1254,53490,1,0,0,0,46830
"10","20220908001286",2022090800,1286,44976,1,0,0,0,44881
"11","20220908001334",2022090800,1334,46085,1,0,0,0,41290
"12","20220908001358",2022090800,1358,47792,0,1,0,0,44881
"13","20220908001358",2022090800,1358,44976,1,0,0,0,44881
"14","20220908001385",2022090800,1385,40107,0,0,0,1,47853
"15","20220908001385",2022090800,1385,52647,1,0,0,0,47853
"16","20220908001385",2022090800,1385,46085,0,1,0,0,47853
"17","20220908001385",2022090800,1385,46232,0,0,0,1,47853
"18","20220908001406",2022090800,1406,41341,1,0,0,0,47853
"19","2022090800146",2022090800,146,43335,0,1,0,0,47857
"20","2022090800146",2022090800,146,38577,0,1,0,0,47857
"21","20220908001563",2022090800,1563,43294,1,0,0,0,42489
"22","2022090800167",2022090800,167,43298,1,0,0,0,42489
"23","20220908001712",2022090800,1712,44976,0,1,0,0,44881
"24","20220908001712",2022090800,1712,52647,0,1,0,0,44881
"25","20220908001736",2022090800,1736,44976,1,0,0,0,52460
"26","20220908001757",2022090800,1757,53459,1,0,0,0,34452
"27","20220908001836",2022090800,1836,37075,1,0,0,0,44881
"28","2022090800191",2022090800,191,47917,0,1,0,0,52494
"29","2022090800191",2022090800,191,52492,1,0,0,0,52494
"30","20220908001946",2022090800,1946,42395,1,0,0,0,47853
"31","20220908001967",2022090800,1967,46190,0,1,0,0,47853
"32","20220908001967",2022090800,1967,46085,0,1,0,0,47853
"33","20220908002043",2022090800,2043,42816,1,0,0,0,47857
